"filename", "language", "TypeScript JSX", "JSON", "JSON with Comments", "CSS", "HTML", "Markdown", "TypeScript", "Properties", "JavaScript", "XML", "comment", "blank", "total"
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/auth.service_20250202223412.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 2, 23, 124
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/auth.service_20250202223414.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 2, 23, 124
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/jwt.strategy_20250130155418.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/jwt.strategy_20250202223357.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/jwt.strategy_20250202223403.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/local-auth.guard_20250202153952.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/local-auth.guard_20250202172653.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/local-auth.guard_20250202172855.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/local-auth.guard_20250202172929.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/backend/src/auth/local-auth.guard_20250202173124.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
